case;event;time;Owner First Name;Involved ST Function Div;Involved Org line 3
1301;0;15.05.2012-11:41:44;39;6;5
1301;2;15.05.2012-12:30:25;39;6;5
1301;4;22.05.2012-23:20:19;5;6;5
1302;1;25.04.2012-08:06:59;393;6;5
1302;0;25.04.2012-09:22:23;150;6;5
1302;0;25.04.2012-09:22:41;150;6;5
1302;1;25.04.2012-09:22:49;150;6;5
1302;0;27.04.2012-07:11:33;459;6;5
1302;1;27.04.2012-07:12:14;459;6;5
1302;0;07.05.2012-10:01:15;39;6;5
1302;2;07.05.2012-10:43:02;39;6;5
1302;4;14.05.2012-23:22:12;5;6;5
1303;1;25.04.2012-08:12:01;332;6;5
1303;0;25.04.2012-09:23:33;150;6;5
1303;0;25.04.2012-09:23:42;150;6;5
1303;1;25.04.2012-09:23:53;150;6;5
1303;0;26.04.2012-08:18:15;459;6;5
1303;1;26.04.2012-08:18:46;459;6;5
1303;0;26.04.2012-08:19:25;459;6;5
1303;1;26.04.2012-08:19:34;459;6;5
1303;0;04.05.2012-08:58:41;39;6;5
1303;5;04.05.2012-08:58:48;39;6;5
1303;0;04.05.2012-09:11:55;39;6;5
1303;2;04.05.2012-10:17:49;39;6;5
1303;4;11.05.2012-23:19:35;5;6;5
1304;1;25.04.2012-08:14:17;33;6;5
1304;0;25.04.2012-09:27:20;150;6;5
1304;0;25.04.2012-09:27:39;150;6;5
1304;1;25.04.2012-09:28:00;150;6;5
1304;0;26.04.2012-08:17:07;459;6;5
1304;1;26.04.2012-08:17:51;459;6;5
1304;0;04.05.2012-13:04:02;39;6;5
1304;2;04.05.2012-13:44:40;39;6;5
1304;4;04.05.2012-23:15:22;5;6;5
1305;1;25.04.2012-08:17:27;525;2;1
1305;0;25.04.2012-09:29:06;150;2;1
1305;1;25.04.2012-09:29:40;150;9;0
1305;0;25.04.2012-10:39:34;723;9;0
1305;5;25.04.2012-10:40:18;723;9;0
1305;1;25.04.2012-14:06:11;723;2;1
1305;0;28.04.2012-01:37:11;35;2;1
1305;1;28.04.2012-01:37:15;35;2;1
1305;0;02.05.2012-14:23:18;90;2;1
1305;3;02.05.2012-14:23:23;90;2;1
1305;0;03.05.2012-14:58:12;50;2;1
1305;5;03.05.2012-14:58:26;50;2;1
1305;2;04.05.2012-09:10:04;50;2;1
1305;4;04.05.2012-23:15:21;5;2;1
1306;1;25.04.2012-08:28:24;32;6;5
1306;0;25.04.2012-09:33:18;150;6;5
1306;0;25.04.2012-09:33:20;150;6;5
1306;1;25.04.2012-09:33:36;150;6;5
1306;0;26.04.2012-08:14:42;459;6;5
1306;1;26.04.2012-08:15:14;459;6;5
1306;0;26.04.2012-08:15:42;459;6;5
1306;1;26.04.2012-08:15:49;459;6;5
1306;0;09.05.2012-11:55:01;39;6;5
1306;5;09.05.2012-11:55:05;39;6;5
1306;0;11.05.2012-08:37:54;39;6;5
1306;2;11.05.2012-09:54:30;39;6;5
1306;4;11.05.2012-23:19:34;5;6;5
1307;1;25.04.2012-09:06:57;953;6;5
1307;0;25.04.2012-09:23:16;89;6;5
1307;1;25.04.2012-09:23:20;89;6;5
1307;0;26.04.2012-08:13:51;459;6;5
1307;0;26.04.2012-08:14:20;459;6;5
1307;1;26.04.2012-08:14:21;459;6;5
1307;0;02.05.2012-09:36:48;39;6;5
1307;5;02.05.2012-09:37:12;39;6;5
1307;0;02.05.2012-14:06:23;39;6;5
1307;2;02.05.2012-14:39:06;39;6;5
1307;1;07.05.2012-10:03:55;953;6;5
1307;0;11.05.2012-05:48:21;162;6;5
1307;3;11.05.2012-05:48:25;162;6;5
1307;0;14.05.2012-08:49:00;39;6;5
1307;5;14.05.2012-08:49:04;39;6;5
1307;2;15.05.2012-10:48:52;39;6;5
1307;4;22.05.2012-23:20:18;5;6;5
1308;1;25.04.2012-09:19:01;954;6;5
1308;0;25.04.2012-09:21:57;89;6;5
1308;0;25.04.2012-09:21:58;89;6;5
1308;3;25.04.2012-09:22:06;89;6;5
1308;0;25.04.2012-12:43:17;304;6;5
1308;5;25.04.2012-12:44:31;304;6;5
1308;0;26.04.2012-14:23:39;304;6;5
1308;7;26.04.2012-14:52:27;304;6;5
1308;7;27.04.2012-09:07:20;304;6;5
1308;0;27.04.2012-09:10:41;304;6;5
1308;1;27.04.2012-09:10:49;304;6;5
1308;0;28.04.2012-01:48:31;503;6;5
1308;1;28.04.2012-01:48:41;503;6;5
1308;0;02.05.2012-14:27:13;90;6;5
1308;3;02.05.2012-14:27:17;90;6;5
1308;0;04.05.2012-10:05:29;150;6;5
1308;5;04.05.2012-10:42:50;150;6;5
1308;0;07.05.2012-09:48:59;150;6;5
1308;5;07.05.2012-09:50:51;150;6;5
1308;0;07.05.2012-10:31:02;150;6;5
1308;2;07.05.2012-10:31:09;150;6;5
1308;1;08.05.2012-20:58:24;955;6;5
1308;0;09.05.2012-07:13:15;150;6;5
1308;3;09.05.2012-07:13:20;150;6;5
1308;0;09.05.2012-07:31:24;50;6;5
1308;2;09.05.2012-07:55:43;50;6;5
1308;4;09.05.2012-23:17:56;5;6;5
1309;1;25.04.2012-09:55:03;48;6;5
1309;0;25.04.2012-10:27:05;89;6;5
1309;0;25.04.2012-10:27:10;89;6;5
1309;1;25.04.2012-10:27:14;89;6;5
1309;0;25.04.2012-19:56:26;146;6;5
1309;1;25.04.2012-19:57:03;146;6;5
1309;0;01.05.2012-09:03:29;150;6;5
1309;1;01.05.2012-09:04:19;150;9;0
1309;0;01.05.2012-09:11:16;314;9;0
1309;1;01.05.2012-09:24:46;314;2;1
1309;0;02.05.2012-14:32:32;90;2;1
1309;3;02.05.2012-14:32:39;90;2;1
1309;0;03.05.2012-10:16:08;452;2;1
1309;2;03.05.2012-10:23:51;452;2;1
1309;4;10.05.2012-23:23:29;5;2;1
1310;1;25.04.2012-12:33:14;228;6;5
1310;0;25.04.2012-13:53:52;150;6;5
1310;0;25.04.2012-13:53:56;150;6;5
1310;1;25.04.2012-13:53:59;150;6;5
1310;0;25.04.2012-19:44:51;146;6;5
1310;1;25.04.2012-19:45:16;146;6;5
1310;0;26.04.2012-07:58:46;459;6;5
1310;1;26.04.2012-07:59:44;459;6;5
1310;0;02.05.2012-09:25:44;39;6;5
1310;5;02.05.2012-09:26:06;39;6;5
1310;0;03.05.2012-08:11:36;39;6;5
1310;2;03.05.2012-08:56:11;39;6;5
1310;4;10.05.2012-23:23:26;5;6;5
1311;1;25.04.2012-12:55:51;622;6;5
1311;0;25.04.2012-14:09:16;150;6;5
1311;0;25.04.2012-14:09:24;150;6;5
1311;1;25.04.2012-14:09:39;150;6;5
1311;0;25.04.2012-19:42:20;146;6;5
1311;1;25.04.2012-19:42:24;146;6;5
1311;0;03.05.2012-08:56:16;150;6;5
1311;3;03.05.2012-08:56:44;150;6;5
1311;0;03.05.2012-09:47:34;575;6;5
1311;0;03.05.2012-10:14:18;575;6;5
1311;1;03.05.2012-10:14:30;575;4;3
1311;0;03.05.2012-10:16:25;530;4;3
1311;3;03.05.2012-10:17:08;530;4;3
1311;0;03.05.2012-16:10:50;372;4;3
1311;5;03.05.2012-16:10:56;372;4;3
1311;6;04.05.2012-11:18:14;372;4;3
1311;0;04.05.2012-13:00:24;372;4;3
1311;2;04.05.2012-13:01:17;372;4;3
1311;4;04.05.2012-23:15:09;5;4;3
1312;0;25.04.2012-08:26:05;304;2;1
1312;0;25.04.2012-08:26:33;304;2;1
1312;7;25.04.2012-08:48:23;304;2;1
1312;7;25.04.2012-08:58:48;304;2;1
1312;0;25.04.2012-09:16:02;304;2;1
1312;1;25.04.2012-09:16:25;304;2;1
1312;0;25.04.2012-12:07:18;453;2;1
1312;5;26.04.2012-08:20:25;453;2;1
1312;2;02.05.2012-07:57:09;453;2;1
1312;4;09.05.2012-23:17:57;5;2;1
1313;0;25.04.2012-08:01:23;344;2;1
1313;0;25.04.2012-08:02:30;344;2;1
1313;1;25.04.2012-08:09:42;344;2;1
1313;0;25.04.2012-08:11:33;245;2;1
1313;3;03.05.2012-14:18:30;200;2;1
1313;0;03.05.2012-15:00:56;467;2;1
1313;2;03.05.2012-15:06:46;467;2;1
1313;4;10.05.2012-23:23:33;5;2;1
1314;0;25.04.2012-08:32:35;223;2;1
1314;0;25.04.2012-08:40:09;223;2;1
1314;7;25.04.2012-08:44:59;223;2;1
1314;0;25.04.2012-11:49:50;223;2;1
1314;1;25.04.2012-11:50:18;223;4;1
1314;0;25.04.2012-12:01:07;551;4;1
1314;1;25.04.2012-12:18:56;551;2;1
1314;0;28.04.2012-02:15:47;35;2;1
1314;1;28.04.2012-02:15:51;35;2;1
1314;0;03.05.2012-07:05:27;138;2;1
1314;2;03.05.2012-07:10:04;138;2;1
1314;4;10.05.2012-23:23:32;5;2;1
1315;0;25.04.2012-07:39:36;233;5;0
1315;0;25.04.2012-07:39:45;233;5;0
1315;1;25.04.2012-07:51:11;233;5;0
1315;0;25.04.2012-07:54:51;206;5;0
1315;1;25.04.2012-07:56:43;206;1;0
1315;0;25.04.2012-10:14:28;649;1;0
1315;1;25.04.2012-10:18:01;649;5;0
1315;0;25.04.2012-10:28:18;206;5;0
1315;1;25.04.2012-10:29:13;206;5;0
1315;0;25.04.2012-12:10:11;233;5;0
1315;1;26.04.2012-14:14:43;233;5;0
1315;0;26.04.2012-14:43:39;120;5;0
1315;1;26.04.2012-14:46:25;120;5;0
1315;0;26.04.2012-15:49:27;233;5;0
1315;5;26.04.2012-16:44:47;233;5;0
1315;1;27.04.2012-06:58:41;233;5;0
1315;0;27.04.2012-12:27:43;812;5;0
1315;7;27.04.2012-12:35:33;812;5;0
1315;0;27.04.2012-12:41:37;812;5;0
1315;1;27.04.2012-12:41:55;812;1;0
1315;0;27.04.2012-15:14:05;649;1;0
1315;1;27.04.2012-15:19:11;649;5;0
1315;0;27.04.2012-15:29:41;204;5;0
1315;1;27.04.2012-15:30:07;204;5;0
1315;0;27.04.2012-15:51:55;233;5;0
1315;0;30.04.2012-15:19:13;5;5;0
1315;5;30.04.2012-16:56:42;233;5;0
1315;2;09.05.2012-07:42:34;233;5;0
1315;4;09.05.2012-07:42:35;233;5;0
1316;0;25.04.2012-08:04:24;821;2;1
1316;0;25.04.2012-08:06:36;821;2;1
1316;1;25.04.2012-08:21:14;821;4;3
1316;0;25.04.2012-08:22:08;417;4;3
1316;1;25.04.2012-08:33:08;417;2;1
1316;0;25.04.2012-09:53:53;89;2;1
1316;3;25.04.2012-09:53:57;89;2;1
1316;0;25.04.2012-10:16:57;821;2;1
1316;3;25.04.2012-10:17:02;821;2;1
1316;0;26.04.2012-08:30:53;90;2;1
1316;3;26.04.2012-08:32:35;90;2;1
1316;0;26.04.2012-10:47:07;111;2;1
1316;7;26.04.2012-10:48:25;111;2;1
1316;0;26.04.2012-14:07:45;111;2;1
1316;0;26.04.2012-16:12:45;111;2;1
1316;1;26.04.2012-16:35:24;111;4;3
1316;0;26.04.2012-16:38:34;371;4;3
1316;3;26.04.2012-16:39:56;371;4;3
1316;0;27.04.2012-10:18:02;372;4;3
1316;5;27.04.2012-10:22:12;372;4;3
1316;0;04.05.2012-08:11:07;372;4;3
1316;2;04.05.2012-08:11:28;372;4;3
1316;4;11.05.2012-23:19:35;5;4;3
1317;0;25.04.2012-08:05:39;857;2;1
1317;0;25.04.2012-08:07:43;857;2;1
1317;7;25.04.2012-08:10:39;857;2;1
1317;1;25.04.2012-08:20:34;857;8;1
1317;0;25.04.2012-09:05:42;261;8;1
1317;5;25.04.2012-09:05:52;261;8;1
1317;3;25.04.2012-09:52:36;261;8;1
1317;0;25.04.2012-11:33:21;257;8;1
1317;5;25.04.2012-11:36:58;257;8;1
1317;0;25.04.2012-16:42:32;100;8;1
1317;3;25.04.2012-16:42:39;100;8;1
1317;0;25.04.2012-18:41:34;258;8;1
1317;5;25.04.2012-18:41:41;258;8;1
1317;3;26.04.2012-01:23:55;258;8;1
1317;0;26.04.2012-01:56:16;101;8;1
1317;5;26.04.2012-01:56:32;101;8;1
1317;3;26.04.2012-09:17:56;101;8;1
1317;0;26.04.2012-21:34:10;259;8;1
1317;5;26.04.2012-21:47:57;259;8;1
1317;3;27.04.2012-00:39:13;259;8;1
1317;0;27.04.2012-03:11:19;257;8;1
1317;5;27.04.2012-03:14:55;257;8;1
1317;1;28.04.2012-16:00:54;257;2;1
1317;0;28.04.2012-18:14:27;503;2;1
1317;1;28.04.2012-18:15:23;503;2;1
1317;0;07.05.2012-03:19:37;556;2;1
1317;3;07.05.2012-03:19:48;556;2;1
1317;3;07.05.2012-03:19:49;556;2;1
1317;0;07.05.2012-06:30:39;857;2;1
1317;7;07.05.2012-06:30:51;857;2;1
1317;0;08.05.2012-01:30:46;857;2;1
1317;1;08.05.2012-01:31:42;857;2;1
1317;0;08.05.2012-01:44:05;170;2;1
1317;3;08.05.2012-01:44:12;170;2;1
1317;0;08.05.2012-01:53:11;556;2;1
1317;2;08.05.2012-02:05:01;556;2;1
1317;4;15.05.2012-23:21:10;5;2;1
1318;0;26.04.2012-00:08:21;85;2;1
1318;0;26.04.2012-00:11:37;85;2;1
1318;1;26.04.2012-00:15:35;85;2;1
1318;0;26.04.2012-01:04:43;956;2;1
1318;8;26.04.2012-01:05:34;956;2;1
1318;2;03.05.2012-06:11:29;956;2;1
1318;4;10.05.2012-23:23:19;5;2;1
1319;1;25.04.2012-07:51:45;228;6;5
1319;0;25.04.2012-09:12:41;150;6;5
1319;1;25.04.2012-09:14:33;150;9;0
1319;0;25.04.2012-09:29:43;312;9;0
1319;6;25.04.2012-09:33:08;312;9;0
1319;1;25.04.2012-12:35:39;312;2;1
1319;1;25.04.2012-12:35:40;312;2;1
1319;0;28.04.2012-01:35:50;35;2;1
1319;1;28.04.2012-01:35:54;35;2;1
1319;0;02.05.2012-14:14:26;90;2;1
1319;3;02.05.2012-14:14:31;90;2;1
1319;0;02.05.2012-14:43:23;358;2;1
1319;2;02.05.2012-14:49:17;358;2;1
1319;4;02.05.2012-23:14:07;5;2;1
1320;1;25.04.2012-07:56:19;30;6;5
1320;0;25.04.2012-09:16:47;150;6;5
1320;0;25.04.2012-09:19:28;150;6;5
1320;1;25.04.2012-09:20:26;150;6;5
1320;0;27.04.2012-07:12:30;459;6;5
1320;1;27.04.2012-07:13:03;459;6;5
1320;0;09.05.2012-12:46:27;39;6;5
1320;5;09.05.2012-12:46:42;39;6;5
1320;0;09.05.2012-13:01:56;39;6;5
1320;2;09.05.2012-13:55:55;39;6;5
1320;4;09.05.2012-23:17:58;5;6;5
1321;1;25.04.2012-08:14:58;79;6;5
1321;0;25.04.2012-09:28:28;150;6;5
1321;0;25.04.2012-09:28:35;150;6;5
1321;1;25.04.2012-09:28:48;150;6;5
1321;0;26.04.2012-08:16:06;459;6;5
1321;1;26.04.2012-08:16:30;459;6;5
1321;0;04.05.2012-07:04:10;39;6;5
1321;5;04.05.2012-07:04:16;39;6;5
1321;0;04.05.2012-07:13:30;39;6;5
1321;2;04.05.2012-08:19:04;39;6;5
1321;4;04.05.2012-23:15:21;5;6;5
1322;1;25.04.2012-08:55:27;913;6;5
1322;0;25.04.2012-09:21:24;89;6;5
1322;3;25.04.2012-09:21:29;89;6;5
1322;0;26.04.2012-11:36:42;575;6;5
1322;5;26.04.2012-11:41:55;575;6;5
1322;0;02.05.2012-11:34:12;575;6;5
1322;2;02.05.2012-11:35:59;575;6;5
1322;4;09.05.2012-23:17:56;5;6;5
1323;1;25.04.2012-09:55:12;33;2;1
1323;0;25.04.2012-10:26:31;89;2;1
1323;0;25.04.2012-10:26:44;89;2;1
1323;3;25.04.2012-10:28:44;89;2;1
1323;0;25.04.2012-10:53:05;50;2;1
1323;5;25.04.2012-10:53:57;50;2;1
1323;0;26.04.2012-14:16:05;50;2;1
1323;5;26.04.2012-14:21:58;50;2;1
1323;0;02.05.2012-12:32:45;50;2;1
1323;2;02.05.2012-12:32:46;50;2;1
1323;4;02.05.2012-12:32:51;50;2;1
1324;1;25.04.2012-10:14:56;177;6;5
1324;0;25.04.2012-10:22:53;89;6;5
1324;0;25.04.2012-10:22:55;89;6;5
1324;1;25.04.2012-10:23:02;89;6;5
1324;0;25.04.2012-19:51:49;146;6;5
1324;1;25.04.2012-19:52:29;146;6;5
1324;0;26.04.2012-08:09:19;459;6;5
1324;1;26.04.2012-08:10:20;459;6;5
1324;0;26.04.2012-08:10:44;459;6;5
1324;1;26.04.2012-08:10:52;459;6;5
1324;0;27.04.2012-07:20:25;459;6;5
1324;1;27.04.2012-07:20:42;459;6;5
1324;0;08.05.2012-07:21:05;39;6;5
1324;5;08.05.2012-07:21:09;39;6;5
1324;0;08.05.2012-08:33:08;39;6;5
1324;5;08.05.2012-08:54:53;39;6;5
1324;0;08.05.2012-09:52:51;39;6;5
1324;2;08.05.2012-10:02:06;39;6;5
1324;4;08.05.2012-23:14:26;5;6;5
1325;1;25.04.2012-11:05:22;957;6;5
1325;0;25.04.2012-11:09:52;89;6;5
1325;0;25.04.2012-11:09:56;89;6;5
1325;1;25.04.2012-11:09:58;89;6;5
1325;0;25.04.2012-19:49:02;146;6;5
1325;1;25.04.2012-19:49:26;146;6;5
1325;0;26.04.2012-08:04:06;459;6;5
1325;1;26.04.2012-08:04:44;459;6;5
1325;0;26.04.2012-08:05:17;459;6;5
1325;1;26.04.2012-08:05:44;459;6;5
1325;0;08.05.2012-07:36:55;39;6;5
1325;5;08.05.2012-07:37:02;39;6;5
1325;0;09.05.2012-12:56:43;39;6;5
1325;5;09.05.2012-13:01:07;39;6;5
1325;0;09.05.2012-13:58:44;39;6;5
1325;2;09.05.2012-14:32:28;39;6;5
1325;4;09.05.2012-23:17:53;5;6;5
1326;1;25.04.2012-11:13:20;958;6;5
1326;0;25.04.2012-11:19:41;89;6;5
1326;3;25.04.2012-11:19:55;89;6;5
1326;0;25.04.2012-12:40:44;304;6;5
1326;5;25.04.2012-12:40:48;304;6;5
1326;0;09.05.2012-12:46:45;89;6;5
1326;0;09.05.2012-12:46:49;89;6;5
1326;5;09.05.2012-12:46:54;89;6;5
1326;5;09.05.2012-13:45:06;89;6;5
1326;1;09.05.2012-13:45:08;89;6;5
1326;0;12.05.2012-01:40:00;122;6;5
1326;1;12.05.2012-01:40:10;122;6;5
1326;0;15.05.2012-08:20:15;159;6;5
1326;2;15.05.2012-08:25:13;159;6;5
1326;4;15.05.2012-08:26:12;159;6;5
1327;1;25.04.2012-11:35:56;16;2;1
1327;0;25.04.2012-12:29:47;63;2;1
1327;1;25.04.2012-12:30:36;63;2;1
1327;0;02.05.2012-14:44:54;90;2;1
1327;3;02.05.2012-14:45:15;90;2;1
1327;0;03.05.2012-13:13:19;106;2;1
1327;5;03.05.2012-13:17:50;106;2;1
1327;0;07.05.2012-08:05:15;416;2;1
1327;5;07.05.2012-08:37:29;416;2;1
1327;0;07.05.2012-09:14:54;416;2;1
1327;2;07.05.2012-09:14:58;416;2;1
1327;4;07.05.2012-09:15:13;416;2;1
1328;1;25.04.2012-11:49:28;393;2;1
1328;0;25.04.2012-12:32:01;63;2;1
1328;3;25.04.2012-12:32:10;63;2;1
1328;0;25.04.2012-12:46:39;50;2;1
1328;0;25.04.2012-12:58:06;50;2;1
1328;2;25.04.2012-13:26:44;50;2;1
1328;4;25.04.2012-13:26:46;50;2;1
1328;4;25.04.2012-19:29:29;146;2;1
1328;0;25.04.2012-19:29:30;146;2;1
1328;1;25.04.2012-19:30:19;146;2;1
1328;0;28.04.2012-01:37:58;35;2;1
1328;1;28.04.2012-01:38:02;35;2;1
1328;0;01.05.2012-09:20:03;150;2;1
1328;2;01.05.2012-09:23:22;150;2;1
1328;0;02.05.2012-07:22:26;150;2;1
1328;1;02.05.2012-07:27:56;150;4;1
1328;0;02.05.2012-09:43:55;310;4;1
1328;1;02.05.2012-10:05:07;310;2;1
1328;0;03.05.2012-08:37:13;191;2;1
1328;3;03.05.2012-08:37:16;191;2;1
1328;0;03.05.2012-11:54:07;50;2;1
1328;2;03.05.2012-12:22:36;50;2;1
1328;4;03.05.2012-23:16:05;5;2;1
1329;1;25.04.2012-12:10:34;804;6;5
1329;0;25.04.2012-12:26:17;63;6;5
1329;1;25.04.2012-12:27:02;63;6;5
1329;0;25.04.2012-19:46:46;146;6;5
1329;1;25.04.2012-19:47:09;146;6;5
1329;0;28.04.2012-01:45:56;35;6;5
1329;1;28.04.2012-01:46:00;35;6;5
1329;0;10.05.2012-14:40:33;63;6;5
1329;3;10.05.2012-14:40:39;63;6;5
1329;0;11.05.2012-10:10:27;150;6;5
1329;5;11.05.2012-10:21:33;150;6;5
1329;0;15.05.2012-08:23:31;150;6;5
1329;5;15.05.2012-08:26:44;150;6;5
1329;0;15.05.2012-08:28:56;150;6;5
1329;2;15.05.2012-08:36:10;150;6;5
1329;4;22.05.2012-23:20:17;5;6;5
1330;1;25.04.2012-12:11:44;475;6;5
1330;0;25.04.2012-12:27:16;63;6;5
1330;1;25.04.2012-12:27:29;63;6;5
1330;0;25.04.2012-19:46:05;146;6;5
1330;1;25.04.2012-19:46:30;146;6;5
1330;0;28.04.2012-01:37:25;35;6;5
1330;1;28.04.2012-01:37:29;35;6;5
1330;0;11.05.2012-05:52:58;162;6;5
1330;7;11.05.2012-05:53:16;162;6;5
1330;2;11.05.2012-10:37:04;162;6;5
1330;4;11.05.2012-10:37:07;162;6;5
1331;1;25.04.2012-12:27:10;208;2;1
1331;0;25.04.2012-13:51:00;150;2;1
1331;0;25.04.2012-13:51:13;150;2;1
1331;1;25.04.2012-13:51:46;150;2;1
1331;0;26.04.2012-11:19:11;90;2;1
1331;3;26.04.2012-11:19:19;90;2;1
1331;0;30.04.2012-08:12:12;111;2;1
1331;5;30.04.2012-08:13:28;111;2;1
1331;0;02.05.2012-13:00:27;111;2;1
1331;5;02.05.2012-13:00:47;111;2;1
1331;0;04.05.2012-08:38:01;111;2;1
1331;2;04.05.2012-08:38:17;111;2;1
1331;4;11.05.2012-23:19:31;5;2;1
1332;1;25.04.2012-12:33:22;959;6;5
1332;0;25.04.2012-13:54:27;150;6;5
1332;0;25.04.2012-13:54:30;150;6;5
1332;1;25.04.2012-13:54:42;150;6;5
1332;0;25.04.2012-19:43:43;146;6;5
1332;1;25.04.2012-19:44:36;146;6;5
1332;0;26.04.2012-07:57:57;459;6;5
1332;1;26.04.2012-07:58:28;459;6;5
1332;0;02.05.2012-09:22:29;39;6;5
1332;5;02.05.2012-09:24:36;39;6;5
1332;0;03.05.2012-11:45:53;39;6;5
1332;0;03.05.2012-12:59:59;39;6;5
1332;1;03.05.2012-13:08:38;39;2;1
1332;0;03.05.2012-15:32:12;91;2;1
1332;1;03.05.2012-15:34:09;91;2;1
1332;0;04.05.2012-09:24:07;251;2;1
1332;3;04.05.2012-09:34:00;251;2;1
1332;0;04.05.2012-09:34:33;80;2;1
1332;5;04.05.2012-09:43:42;80;2;1
1332;0;07.05.2012-11:56:27;80;2;1
1332;2;07.05.2012-12:02:47;80;2;1
1332;4;14.05.2012-23:22:10;5;2;1
1333;1;25.04.2012-12:56:26;122;6;5
1333;0;25.04.2012-14:10:07;150;6;5
1333;0;25.04.2012-14:10:18;150;6;5
1333;1;25.04.2012-14:10:20;150;6;5
1333;0;25.04.2012-19:41:45;146;6;5
1333;1;26.04.2012-07:57:36;459;6;5
1333;0;02.05.2012-09:18:57;39;6;5
1333;5;02.05.2012-09:19:50;39;6;5
1333;0;04.05.2012-12:05:36;39;6;5
1333;2;04.05.2012-12:46:50;39;6;5
1333;4;04.05.2012-23:15:09;5;6;5
1334;1;25.04.2012-13:15:45;272;2;1
1334;0;25.04.2012-14:16:04;150;2;1
1334;1;25.04.2012-14:19:21;150;4;1
1334;0;25.04.2012-14:21:55;264;4;1
1334;3;25.04.2012-14:25:15;264;4;1
1334;0;25.04.2012-14:27:03;960;4;1
1334;1;25.04.2012-14:50:50;960;4;1
1334;0;25.04.2012-14:54:51;643;4;1
1334;6;25.04.2012-16:59:16;643;4;1
1334;5;04.05.2012-16:17:15;643;4;1
1334;2;07.05.2012-13:32:57;643;4;1
1334;4;14.05.2012-23:22:09;5;4;1
1335;0;25.04.2012-08:18:46;39;2;1
1335;0;25.04.2012-08:20:22;39;2;1
1335;1;25.04.2012-08:56:25;39;2;1
1335;0;25.04.2012-09:50:32;89;2;1
1335;3;25.04.2012-09:50:39;89;2;1
1335;0;26.04.2012-08:01:25;191;2;1
1335;5;26.04.2012-08:01:28;191;2;1
1335;1;26.04.2012-13:39:18;191;4;1
1335;0;26.04.2012-13:41:45;592;4;1
1335;3;26.04.2012-13:42:18;592;4;1
1335;0;26.04.2012-13:48:49;264;4;1
1335;3;26.04.2012-13:51:21;264;4;1
1335;0;26.04.2012-13:53:06;428;4;1
1335;5;26.04.2012-14:54:57;428;4;1
1335;6;27.04.2012-15:05:59;428;4;1
1335;5;27.04.2012-15:17:28;428;4;1
1335;1;04.05.2012-05:49:57;428;2;1
1335;0;04.05.2012-07:50:42;150;2;1
1335;3;04.05.2012-07:50:51;150;2;1
1335;0;04.05.2012-09:15:26;50;2;1
1335;1;04.05.2012-09:17:56;50;2;1
1335;0;07.05.2012-12:48:48;92;2;1
1335;5;07.05.2012-12:48:54;92;2;1
1335;2;10.05.2012-12:20:01;92;2;1
1335;4;10.05.2012-23:23:32;5;2;1
1336;0;25.04.2012-08:57:38;343;2;1
1336;0;25.04.2012-08:57:50;343;2;1
1336;1;25.04.2012-09:02:37;343;9;0
1336;0;26.04.2012-14:24:17;654;9;0
1336;1;26.04.2012-14:27:54;654;2;1
1336;0;27.04.2012-11:53:29;385;2;1
1336;3;27.04.2012-11:53:35;385;2;1
1336;0;03.05.2012-14:06:05;343;2;1
1336;2;03.05.2012-14:48:29;343;2;1
1336;4;10.05.2012-23:23:32;5;2;1
1337;1;25.04.2012-09:20:20;720;6;5
1337;1;25.04.2012-09:20:54;720;12;0
1337;0;25.04.2012-09:44:56;310;12;0
1337;1;25.04.2012-09:45:05;310;12;0
1337;0;25.04.2012-11:45:33;456;12;0
1337;2;11.05.2012-09:07:42;961;12;0
1337;4;11.05.2012-09:54:35;720;12;0
1338;1;27.04.2012-12:58:17;278;6;5
1338;1;27.04.2012-13:04:18;278;12;0
1338;0;27.04.2012-13:23:26;310;12;0
1338;1;27.04.2012-13:24:29;310;12;0
1338;0;29.04.2012-23:37:38;176;12;0
1338;1;29.04.2012-23:40:41;176;7;0
1338;0;30.04.2012-07:41:59;122;7;0
1338;1;30.04.2012-07:46:18;122;12;0
1338;1;30.04.2012-07:46:19;122;12;0
1338;0;30.04.2012-07:58:12;176;12;0
1338;1;30.04.2012-07:58:39;176;12;0
1338;0;30.04.2012-09:08:57;89;12;0
1338;3;30.04.2012-09:09:13;89;12;0
1338;0;30.04.2012-09:11:13;50;12;0
1338;7;30.04.2012-10:09:04;50;12;0
1338;5;30.04.2012-11:46:36;50;12;0
1338;0;04.05.2012-07:43:38;50;12;0
1338;5;04.05.2012-08:27:05;50;12;0
1338;0;04.05.2012-13:40:52;50;12;0
1338;5;04.05.2012-14:04:36;50;12;0
1338;0;07.05.2012-09:46:20;50;12;0
1338;2;07.05.2012-09:52:22;50;12;0
1338;4;14.05.2012-23:21:42;5;12;0
1339;0;25.04.2012-08:07:06;233;2;1
1339;0;25.04.2012-08:07:53;233;2;1
1339;5;25.04.2012-08:08:35;233;2;1
1339;2;14.05.2012-14:07:42;233;2;1
1339;4;21.05.2012-23:24:15;5;2;1
1340;1;25.04.2012-08:08:54;5;17;1
1340;0;25.04.2012-11:04:33;552;17;1
1340;1;25.04.2012-11:27:17;552;6;6
1340;0;25.04.2012-11:35:06;497;6;6
1340;0;26.04.2012-07:29:25;497;6;6
1340;1;26.04.2012-07:29:48;497;12;0
1340;0;26.04.2012-08:25:26;962;12;0
1340;10;26.04.2012-08:25:36;962;12;0
