case;event;time;case Document Type;case GR-Based Inv. Verif.;event org:resource
2561;2;08.01.2018-12:17:00;1;0;1
2561;3;29.03.2018-15:07:00;1;0;2
2562;0;03.01.2018-11:43:00;1;0;58
2562;1;08.01.2018-09:55:00;1;0;61
2562;2;08.01.2018-12:17:00;1;0;1
2562;3;29.03.2018-15:07:00;1;0;2
2563;0;03.01.2018-11:43:00;1;0;58
2563;1;08.01.2018-09:27:00;1;0;59
2563;2;08.01.2018-12:17:00;1;0;1
2563;3;29.03.2018-15:07:00;1;0;2
2564;0;03.01.2018-11:43:00;1;0;58
2564;1;10.01.2018-14:40:00;1;0;59
2564;2;11.01.2018-10:43:00;1;0;8
2564;3;29.03.2018-15:07:00;1;0;2
2565;0;03.01.2018-11:43:00;1;0;58
2565;1;08.01.2018-09:32:00;1;0;59
2565;2;08.01.2018-12:17:00;1;0;1
2565;3;29.03.2018-15:07:00;1;0;2
2566;0;03.01.2018-11:43:00;1;0;58
2566;1;08.01.2018-09:25:00;1;0;59
2566;2;08.01.2018-12:17:00;1;0;1
2566;3;29.03.2018-15:07:00;1;0;2
2567;0;03.01.2018-11:52:00;1;0;100
2567;15;03.01.2018-12:05:00;1;0;100
2568;0;03.01.2018-11:52:00;1;0;100
2568;15;03.01.2018-12:05:00;1;0;100
2569;0;03.01.2018-11:52:00;1;0;100
2569;15;03.01.2018-12:05:00;1;0;100
2570;0;03.01.2018-11:52:00;1;0;100
2570;15;03.01.2018-12:05:00;1;0;100
2571;0;03.01.2018-11:52:00;1;0;100
2571;23;16.02.2018-10:18:00;1;0;100
2572;0;03.01.2018-11:52:00;1;0;100
2572;2;17.01.2018-16:05:00;1;0;24
2572;3;08.03.2018-13:22:00;1;0;4
2573;0;03.01.2018-11:52:00;1;0;100
2573;2;17.01.2018-16:05:00;1;0;24
2573;3;08.03.2018-13:22:00;1;0;4
2574;0;03.01.2018-11:52:00;1;0;100
2574;2;17.01.2018-16:05:00;1;0;24
2574;3;08.03.2018-13:22:00;1;0;4
2575;28;03.01.2018-00:00:00;1;0;134
2575;0;03.01.2018-11:52:00;1;0;152
2575;2;17.01.2018-16:35:00;1;0;7
2575;1;22.01.2018-13:13:00;1;0;92
2575;9;22.01.2018-16:37:00;1;0;6
2575;3;05.04.2018-15:48:00;1;0;2
2576;0;03.01.2018-11:52:00;1;0;152
2576;2;17.01.2018-16:35:00;1;0;7
2576;1;22.01.2018-13:13:00;1;0;92
2576;9;22.01.2018-16:37:00;1;0;6
2576;3;05.04.2018-15:48:00;1;0;2
2577;0;03.01.2018-11:53:00;1;0;46
2577;1;25.01.2018-15:27:00;1;0;47
2577;2;09.02.2018-11:26:00;1;0;7
2577;3;29.03.2018-15:06:00;1;0;2
2578;28;03.01.2018-00:00:00;1;0;134
2578;0;03.01.2018-11:56:00;1;0;152
2578;2;24.01.2018-13:09:00;1;0;12
2578;1;01.02.2018-09:21:00;1;0;92
2578;9;01.02.2018-19:36:00;1;0;6
2578;3;05.04.2018-15:50:00;1;0;2
2579;0;03.01.2018-11:56:00;1;0;100
2579;15;03.01.2018-12:02:00;1;0;100
2580;0;03.01.2018-11:56:00;1;0;100
2580;15;03.01.2018-12:02:00;1;0;100
2581;0;03.01.2018-11:56:00;1;0;100
2581;15;03.01.2018-12:02:00;1;0;100
2582;0;03.01.2018-11:56:00;1;0;100
2582;15;03.01.2018-12:02:00;1;0;100
2583;0;03.01.2018-11:56:00;1;0;100
2583;23;16.02.2018-10:18:00;1;0;100
2584;0;03.01.2018-11:56:00;1;0;100
2584;2;17.01.2018-16:04:00;1;0;24
2584;3;08.03.2018-13:22:00;1;0;4
2585;0;03.01.2018-11:56:00;1;0;100
2585;2;17.01.2018-16:04:00;1;0;24
2585;3;08.03.2018-13:22:00;1;0;4
2586;0;03.01.2018-11:59:00;1;0;106
2586;1;09.01.2018-09:48:00;1;0;153
2586;2;17.01.2018-14:26:00;1;0;16
2586;3;01.03.2018-14:05:00;1;0;4
2587;1;10.01.2018-09:53:00;1;0;154
2587;2;05.04.2018-17:11:00;1;0;12
2587;3;26.04.2018-11:14:00;1;0;2
2588;1;10.01.2018-09:53:00;1;0;154
2588;2;05.04.2018-17:11:00;1;0;12
2588;3;26.04.2018-11:14:00;1;0;2
2589;0;03.01.2018-12:13:00;1;0;46
2589;1;17.01.2018-10:47:00;1;0;47
2589;2;18.01.2018-09:33:00;1;0;16
2589;9;06.02.2018-14:48:00;1;0;6
2589;14;13.03.2018-11:04:00;1;0;50
2589;3;29.03.2018-15:06:00;1;0;2
2590;0;03.01.2018-12:18:00;1;0;100
2590;2;11.01.2018-16:41:00;1;0;1
2590;3;08.03.2018-13:22:00;1;0;4
2591;0;03.01.2018-12:18:00;1;0;100
2591;2;11.01.2018-16:41:00;1;0;1
2591;3;08.03.2018-13:22:00;1;0;4
2592;0;03.01.2018-12:18:00;1;0;100
2592;2;11.01.2018-16:41:00;1;0;1
2592;3;08.03.2018-13:22:00;1;0;4
2593;0;03.01.2018-12:18:00;1;0;100
2593;2;11.01.2018-16:41:00;1;0;1
2593;3;08.03.2018-13:22:00;1;0;4
2594;0;03.01.2018-12:21:00;1;0;100
2594;2;11.01.2018-17:50:00;1;0;7
2594;3;08.03.2018-13:22:00;1;0;4
2595;0;03.01.2018-12:21:00;1;0;100
2595;2;11.01.2018-17:50:00;1;0;7
2595;3;08.03.2018-13:22:00;1;0;4
2596;0;03.01.2018-12:21:00;1;0;100
2596;2;11.01.2018-17:50:00;1;0;7
2596;3;08.03.2018-13:22:00;1;0;4
2597;0;03.01.2018-12:21:00;1;0;100
2597;2;11.01.2018-17:50:00;1;0;7
2597;3;08.03.2018-13:22:00;1;0;4
2598;0;03.01.2018-12:21:00;1;0;46
2598;2;15.01.2018-15:23:00;1;0;12
2598;1;16.01.2018-12:07:00;1;0;48
2598;9;16.01.2018-16:57:00;1;0;6
2598;3;22.02.2018-16:16:00;1;0;2
2599;0;03.01.2018-12:22:00;1;0;87
2599;1;19.01.2018-12:50:00;1;0;89
2599;2;10.03.2018-12:56:00;1;0;15
2599;3;05.04.2018-15:48:00;1;0;2
2600;0;03.01.2018-12:42:00;1;0;46
2600;2;24.01.2018-10:42:00;1;0;24
2600;1;25.01.2018-12:47:00;1;0;47
2600;3;29.03.2018-15:09:00;1;0;2
2601;28;03.01.2018-00:00:00;1;0;134
2601;0;03.01.2018-12:55:00;1;0;152
2601;1;05.02.2018-13:47:00;1;0;136
2601;2;12.02.2018-12:53:00;1;0;12
2601;3;26.04.2018-11:12:00;1;0;2
2602;28;03.01.2018-00:00:00;1;0;134
2602;0;03.01.2018-12:59:00;1;0;152
2602;2;16.01.2018-17:22:00;1;0;8
2602;1;22.01.2018-13:08:00;1;0;92
2602;9;22.01.2018-16:37:00;1;0;6
2602;3;29.03.2018-15:07:00;1;0;2
2603;0;03.01.2018-13:02:00;1;0;72
2603;17;04.01.2018-16:27:00;1;0;72
2603;15;12.01.2018-15:54:00;1;0;72
2604;0;03.01.2018-13:04:00;1;0;152
2604;14;05.01.2018-10:46:00;1;0;93
2604;2;23.03.2018-15:03:00;1;0;13
2604;1;27.04.2018-08:19:00;1;0;92
2604;3;17.05.2018-14:50:00;1;0;2
2604;3;12.07.2018-12:55:00;1;0;2
2604;3;24.09.2018-11:56:00;1;0;12
2605;0;03.01.2018-13:06:00;1;0;152
2605;14;12.01.2018-12:54:00;1;0;82
2605;1;06.02.2018-14:51:00;1;0;92
2605;3;26.04.2018-11:13:00;1;0;2
2606;0;03.01.2018-13:11:00;1;0;65
2606;17;11.01.2018-11:16:00;1;0;117
2606;1;11.01.2018-11:17:00;1;0;86
2606;2;12.01.2018-10:40:00;1;0;12
2606;3;29.03.2018-15:08:00;1;0;2
2607;0;03.01.2018-13:15:00;1;0;146
2607;2;05.01.2018-17:12:00;1;0;1
2607;1;08.01.2018-11:09:00;1;0;146
2607;9;08.01.2018-17:22:00;1;0;6
2607;3;29.01.2018-16:21:00;1;0;6
2608;0;03.01.2018-13:15:00;1;0;146
2608;2;05.01.2018-17:12:00;1;0;1
2608;1;08.01.2018-11:09:00;1;0;146
2608;9;08.01.2018-17:22:00;1;0;6
2608;3;29.01.2018-16:21:00;1;0;6
2609;0;03.01.2018-13:16:00;2;1;126
2609;1;12.02.2018-14:31:00;2;1;109
2609;1;12.02.2018-14:45:00;2;1;109
2609;1;12.02.2018-14:59:00;2;1;109
2609;1;12.02.2018-15:20:00;2;1;109
2609;2;19.02.2018-15:15:00;2;1;8
2609;2;24.02.2018-11:36:00;2;1;6
2609;1;05.03.2018-14:46:00;2;1;109
2609;1;05.03.2018-14:55:00;2;1;109
2609;2;06.03.2018-17:49:00;2;1;1
2609;2;06.03.2018-17:53:00;2;1;1
2609;3;08.03.2018-13:23:00;2;1;4
2609;3;08.03.2018-13:23:00;2;1;4
2609;1;12.03.2018-15:52:00;2;1;109
2609;2;13.03.2018-15:16:00;2;1;1
2609;3;15.03.2018-14:14:00;2;1;4
2609;2;23.03.2018-15:20:00;2;1;6
2609;3;29.03.2018-15:11:00;2;1;2
2609;3;05.04.2018-15:51:00;2;1;2
2609;1;09.04.2018-14:03:00;2;1;109
2609;1;09.04.2018-14:06:00;2;1;109
2609;1;09.04.2018-14:17:00;2;1;109
2609;1;09.04.2018-14:24:00;2;1;109
2609;1;09.04.2018-14:29:00;2;1;109
2609;1;09.04.2018-14:32:00;2;1;109
2609;1;09.04.2018-14:34:00;2;1;109
2609;1;17.04.2018-13:46:00;2;1;109
2609;1;17.04.2018-13:49:00;2;1;109
2609;2;25.04.2018-11:08:00;2;1;1
2609;2;25.04.2018-11:09:00;2;1;1
2609;2;25.04.2018-11:12:00;2;1;1
2609;2;25.04.2018-11:14:00;2;1;1
2609;2;25.04.2018-14:47:00;2;1;1
2609;2;25.04.2018-14:48:00;2;1;1
2609;3;26.04.2018-11:16:00;2;1;2
2609;2;02.05.2018-13:07:00;2;1;12
2609;2;02.05.2018-13:09:00;2;1;12
2609;3;03.05.2018-14:51:00;2;1;2
2609;2;15.05.2018-15:34:00;2;1;1
2609;2;15.05.2018-15:36:00;2;1;1
2609;3;17.05.2018-14:51:00;2;1;2
2609;3;24.05.2018-13:37:00;2;1;2
2609;1;25.05.2018-13:58:00;2;1;109
2609;1;25.05.2018-14:07:00;2;1;109
2609;1;25.05.2018-14:27:00;2;1;109
2609;2;29.05.2018-11:40:00;2;1;1
2609;3;31.05.2018-12:33:00;2;1;2
2609;2;05.06.2018-16:30:00;2;1;1
2609;3;07.06.2018-13:13:00;2;1;2
2609;1;07.06.2018-14:26:00;2;1;109
2609;1;07.06.2018-14:29:00;2;1;109
2609;2;08.06.2018-10:25:00;2;1;13
2609;2;08.06.2018-10:29:00;2;1;13
2609;2;08.06.2018-10:30:00;2;1;13
2609;3;14.06.2018-15:02:00;2;1;2
2609;1;18.06.2018-14:12:00;2;1;109
2609;3;05.07.2018-14:13:00;2;1;2
2609;3;12.07.2018-12:56:00;2;1;2
2609;1;23.07.2018-12:05:00;2;1;109
2609;1;23.07.2018-12:07:00;2;1;109
2609;1;23.07.2018-14:38:00;2;1;109
2609;1;23.07.2018-14:49:00;2;1;109
2609;1;23.07.2018-15:07:00;2;1;109
2609;1;27.07.2018-16:20:00;2;1;109
2609;2;30.07.2018-08:15:00;2;1;12
2609;1;30.07.2018-15:09:00;2;1;109
2609;1;30.07.2018-15:17:00;2;1;109
2609;2;31.07.2018-11:55:00;2;1;13
2609;3;02.08.2018-16:07:00;2;1;2
2609;3;02.08.2018-16:07:00;2;1;2
2609;1;06.08.2018-11:29:00;2;1;109
2609;1;13.08.2018-10:12:00;2;1;109
2609;1;13.08.2018-10:15:00;2;1;109
2609;2;14.08.2018-09:04:00;2;1;12
2609;7;14.08.2018-17:40:00;2;1;15
2609;3;16.08.2018-13:26:00;2;1;27
2609;1;16.08.2018-14:10:00;2;1;109
2609;3;16.08.2018-15:03:00;2;1;2
2609;2;16.08.2018-16:26:00;2;1;15
2609;1;17.08.2018-12:00:00;2;1;109
2609;2;20.08.2018-10:17:00;2;1;1
2609;1;22.08.2018-15:26:00;2;1;109
2609;3;23.08.2018-13:40:00;2;1;2
2609;1;29.08.2018-15:57:00;2;1;109
2609;2;03.09.2018-16:22:00;2;1;15
2609;2;03.09.2018-16:23:00;2;1;15
2609;3;06.09.2018-14:08:00;2;1;2
2609;2;14.09.2018-16:57:00;2;1;12
2609;1;17.09.2018-09:57:00;2;1;109
2609;1;17.09.2018-15:35:00;2;1;109
2609;9;17.09.2018-16:51:00;2;1;15
2609;7;18.09.2018-11:19:00;2;1;3
2609;2;18.09.2018-11:20:00;2;1;3
2609;3;20.09.2018-16:14:00;2;1;2
2609;3;27.09.2018-15:52:00;2;1;27
2609;1;27.09.2018-16:27:00;2;1;109
2609;1;02.10.2018-12:10:00;2;1;109
2609;1;05.10.2018-16:00:00;2;1;109
2609;1;17.10.2018-15:39:00;2;1;109
2609;1;17.10.2018-15:53:00;2;1;109
2609;1;24.10.2018-15:53:00;2;1;109
2609;1;01.11.2018-15:07:00;2;1;109
2609;1;01.11.2018-15:20:00;2;1;109
2609;2;07.11.2018-06:34:00;2;1;12
2609;2;07.11.2018-06:39:00;2;1;12
2609;2;07.11.2018-06:49:00;2;1;1
2609;2;07.11.2018-06:51:00;2;1;1
2609;2;07.11.2018-06:55:00;2;1;1
2609;2;07.11.2018-06:57:00;2;1;1
2609;2;07.11.2018-06:59:00;2;1;1
2609;2;07.11.2018-07:00:00;2;1;1
2609;2;07.11.2018-07:08:00;2;1;1
2609;2;07.11.2018-07:09:00;2;1;1
2609;2;07.11.2018-07:11:00;2;1;1
2609;2;07.11.2018-07:12:00;2;1;1
2609;2;07.11.2018-07:13:00;2;1;1
2609;2;07.11.2018-11:18:00;2;1;12
2609;3;08.11.2018-16:46:00;2;1;2
2609;2;08.11.2018-16:49:00;2;1;1
2609;1;12.11.2018-10:48:00;2;1;109
2609;2;14.11.2018-15:05:00;2;1;13
2609;3;15.11.2018-15:35:00;2;1;2
2609;2;19.11.2018-09:14:00;2;1;1
2609;1;19.11.2018-15:06:00;2;1;109
2609;1;19.11.2018-15:09:00;2;1;109
2609;2;22.11.2018-18:10:00;2;1;12
2609;3;29.11.2018-16:17:00;2;1;2
2609;1;04.12.2018-16:15:00;2;1;109
2609;2;07.12.2018-06:24:00;2;1;20
2609;3;07.12.2018-09:09:00;2;1;2
2609;2;10.12.2018-15:25:00;2;1;18
2609;1;11.12.2018-11:56:00;2;1;109
2609;2;18.12.2018-09:04:00;2;1;20
2609;2;19.12.2018-07:26:00;2;1;1
2609;3;10.01.2019-15:46:00;2;1;2
2609;1;15.01.2019-14:16:00;2;1;109
2609;3;17.01.2019-14:41:00;2;1;2
2610;0;03.01.2018-13:24:00;2;1;126
2610;1;12.02.2018-14:35:00;2;1;109
2610;1;12.02.2018-14:40:00;2;1;109
2610;1;12.02.2018-14:53:00;2;1;109
2610;1;12.02.2018-14:56:00;2;1;109
2610;1;12.02.2018-15:18:00;2;1;109
2610;2;19.02.2018-15:14:00;2;1;8
2610;2;24.02.2018-08:20:00;2;1;3
2610;2;24.02.2018-11:37:00;2;1;6
2610;1;05.03.2018-14:49:00;2;1;109
2610;1;05.03.2018-14:53:00;2;1;109
2610;1;05.03.2018-16:16:00;2;1;109
2610;2;06.03.2018-17:51:00;2;1;1
2610;3;08.03.2018-13:23:00;2;1;4
2610;1;12.03.2018-16:16:00;2;1;109
2610;2;13.03.2018-15:10:00;2;1;1
2610;3;15.03.2018-14:14:00;2;1;4
2610;3;15.03.2018-14:14:00;2;1;4
2610;2;15.03.2018-16:12:00;2;1;7
2610;3;29.03.2018-15:11:00;2;1;2
2610;3;05.04.2018-15:51:00;2;1;2
2610;1;09.04.2018-14:10:00;2;1;109
2610;1;09.04.2018-14:13:00;2;1;109
2610;1;09.04.2018-14:20:00;2;1;109
2610;1;09.04.2018-14:37:00;2;1;109
2610;1;09.04.2018-14:40:00;2;1;109
2610;1;09.04.2018-14:43:00;2;1;109
2610;1;17.04.2018-13:52:00;2;1;109
2610;1;17.04.2018-13:59:00;2;1;109
2610;2;25.04.2018-11:10:00;2;1;1
2610;2;25.04.2018-11:13:00;2;1;1
2610;2;25.04.2018-14:21:00;2;1;1
2610;2;25.04.2018-14:25:00;2;1;1
2610;2;25.04.2018-14:49:00;2;1;1
2610;2;25.04.2018-14:50:00;2;1;1
2610;2;25.04.2018-17:31:00;2;1;1
2610;3;26.04.2018-11:16:00;2;1;2
2610;2;26.04.2018-16:58:00;2;1;1
2610;2;26.04.2018-17:01:00;2;1;1
2610;1;30.04.2018-11:53:00;2;1;109
2610;3;03.05.2018-14:51:00;2;1;2
2610;3;17.05.2018-14:51:00;2;1;2
2610;2;21.05.2018-14:19:00;2;1;13
2610;3;24.05.2018-13:37:00;2;1;2
2610;1;25.05.2018-14:01:00;2;1;109
2610;1;25.05.2018-14:29:00;2;1;109
2610;1;25.05.2018-14:39:00;2;1;109
2610;2;29.05.2018-10:57:00;2;1;12
2610;3;31.05.2018-12:33:00;2;1;2
2610;2;05.06.2018-16:29:00;2;1;1
2610;1;07.06.2018-12:12:00;2;1;109
2610;3;07.06.2018-13:13:00;2;1;2
2610;1;07.06.2018-14:33:00;2;1;109
2610;2;08.06.2018-12:21:00;2;1;12
2610;2;08.06.2018-12:25:00;2;1;12
2610;3;14.06.2018-15:02:00;2;1;2
2610;2;20.06.2018-10:38:00;2;1;12
2610;2;20.06.2018-11:19:00;2;1;1
2610;1;21.06.2018-14:05:00;2;1;109
2610;3;05.07.2018-14:13:00;2;1;2
2610;3;12.07.2018-12:56:00;2;1;2
2610;2;16.07.2018-17:28:00;2;1;15
2610;3;19.07.2018-13:17:00;2;1;2
2610;1;23.07.2018-11:57:00;2;1;109
2610;1;23.07.2018-12:01:00;2;1;109
2610;1;23.07.2018-14:40:00;2;1;109
2610;1;23.07.2018-14:46:00;2;1;109
2610;1;23.07.2018-15:04:00;2;1;109
2610;7;25.07.2018-12:11:00;2;1;15
2610;1;27.07.2018-16:06:00;2;1;109
2610;2;30.07.2018-10:24:00;2;1;1
2610;1;30.07.2018-15:15:00;2;1;109
2610;1;30.07.2018-15:26:00;2;1;109
2610;2;31.07.2018-09:53:00;2;1;12
2610;3;02.08.2018-16:07:00;2;1;2
2610;3;02.08.2018-16:07:00;2;1;2
2610;1;06.08.2018-11:26:00;2;1;109
2610;1;06.08.2018-11:34:00;2;1;109
2610;1;13.08.2018-10:06:00;2;1;109
2610;1;17.08.2018-15:04:00;2;1;109
2610;2;20.08.2018-12:47:00;2;1;13
2610;1;22.08.2018-15:30:00;2;1;109
2610;3;23.08.2018-13:40:00;2;1;2
2610;1;29.08.2018-16:00:00;2;1;109
2610;2;03.09.2018-16:25:00;2;1;15
2610;7;03.09.2018-16:26:00;2;1;15
2610;2;03.09.2018-16:26:00;2;1;15
2610;3;03.09.2018-16:27:00;2;1;15
2610;2;03.09.2018-17:31:00;2;1;15
2610;3;06.09.2018-14:08:00;2;1;2
2610;1;17.09.2018-15:31:00;2;1;109
2610;1;27.09.2018-16:09:00;2;1;109
2610;1;27.09.2018-16:24:00;2;1;109
2610;2;28.09.2018-17:15:00;2;1;1
2610;1;02.10.2018-12:06:00;2;1;109
2610;1;05.10.2018-16:03:00;2;1;109
2610;1;17.10.2018-15:46:00;2;1;109
2610;1;17.10.2018-15:50:00;2;1;109
2610;1;24.10.2018-15:50:00;2;1;109
2610;3;26.10.2018-11:04:00;2;1;4
2610;1;01.11.2018-15:05:00;2;1;109
2610;1;01.11.2018-15:24:00;2;1;109
2610;2;07.11.2018-06:32:00;2;1;12
2610;2;07.11.2018-06:37:00;2;1;12
2610;2;07.11.2018-06:49:00;2;1;12
2610;2;07.11.2018-06:53:00;2;1;12
2610;2;07.11.2018-06:53:00;2;1;1
2610;2;07.11.2018-06:55:00;2;1;12
2610;2;07.11.2018-06:56:00;2;1;1
2610;2;07.11.2018-06:57:00;2;1;12
2610;2;07.11.2018-07:01:00;2;1;1
2610;2;07.11.2018-07:02:00;2;1;12
2610;2;07.11.2018-07:04:00;2;1;1
2610;2;07.11.2018-07:06:00;2;1;12
2610;2;07.11.2018-07:09:00;2;1;12
2610;9;07.11.2018-09:46:00;2;1;15
2610;2;07.11.2018-11:21:00;2;1;12
2610;2;07.11.2018-11:31:00;2;1;12
2610;3;08.11.2018-16:46:00;2;1;2
2610;1;12.11.2018-10:50:00;2;1;109
2610;2;14.11.2018-15:09:00;2;1;12
2610;1;19.11.2018-15:13:00;2;1;109
2610;3;22.11.2018-14:54:00;2;1;2
2610;2;22.11.2018-15:33:00;2;1;13
2610;3;29.11.2018-16:17:00;2;1;2
2610;2;07.12.2018-06:26:00;2;1;20
2610;3;07.12.2018-09:09:00;2;1;2
2610;7;11.12.2018-13:57:00;2;1;15
2610;14;12.12.2018-09:25:00;2;1;126
2610;1;12.12.2018-15:15:00;2;1;109
2610;1;12.12.2018-15:18:00;2;1;109
2610;2;18.12.2018-14:31:00;2;1;18
2610;2;24.12.2018-10:31:00;2;1;13
2610;3;10.01.2019-15:46:00;2;1;2
2610;1;15.01.2019-11:59:00;2;1;109
2610;1;15.01.2019-14:23:00;2;1;109
2610;1;16.01.2019-16:09:00;2;1;109
2610;2;17.01.2019-12:49:00;2;1;13
2610;2;17.01.2019-14:18:00;2;1;13
2610;3;17.01.2019-14:41:00;2;1;2
2610;2;17.01.2019-16:38:00;2;1;20
2611;0;03.01.2018-13:28:00;2;1;126
2611;1;21.02.2018-15:52:00;2;1;126
2611;1;21.02.2018-15:53:00;2;1;126
2611;2;28.02.2018-17:57:00;2;1;7
2611;2;13.03.2018-13:09:00;2;1;1
2611;1;22.03.2018-14:36:00;2;1;126
2611;1;22.03.2018-14:37:00;2;1;126
2611;2;22.03.2018-17:06:00;2;1;1
2611;2;22.03.2018-17:08:00;2;1;1
2611;3;29.03.2018-15:11:00;2;1;2
2611;1;26.04.2018-17:30:00;2;1;126
2611;1;26.04.2018-17:32:00;2;1;126
2611;2;27.04.2018-11:38:00;2;1;1
2611;2;27.04.2018-12:05:00;2;1;1
2611;3;03.05.2018-14:51:00;2;1;2
2611;1;23.05.2018-16:10:00;2;1;126
2611;1;23.05.2018-16:11:00;2;1;126
2611;2;24.05.2018-10:09:00;2;1;12
2611;2;24.05.2018-10:15:00;2;1;13
2611;3;31.05.2018-12:33:00;2;1;2
2611;1;02.07.2018-16:57:00;2;1;126
2611;1;02.07.2018-16:58:00;2;1;126
2611;2;03.07.2018-14:38:00;2;1;12
2611;2;03.07.2018-14:41:00;2;1;12
2611;3;05.07.2018-14:13:00;2;1;2
2611;1;11.07.2018-11:46:00;2;1;126
2611;1;11.07.2018-11:47:00;2;1;126
2611;2;12.07.2018-15:19:00;2;1;13
2611;2;16.07.2018-14:40:00;2;1;13
2611;3;26.07.2018-18:09:00;2;1;2
2611;1;20.08.2018-09:53:00;2;1;126
2611;1;20.08.2018-09:54:00;2;1;126
2611;2;21.08.2018-11:14:00;2;1;12
2611;3;30.08.2018-15:41:00;2;1;2
2611;1;03.10.2018-13:37:00;2;1;126
2611;1;03.10.2018-13:39:00;2;1;126
2611;2;03.10.2018-17:16:00;2;1;3
2611;2;03.10.2018-17:19:00;2;1;3
2611;3;04.10.2018-16:50:00;2;1;2
2611;1;01.11.2018-14:22:00;2;1;126
2611;2;02.11.2018-11:00:00;2;1;12
2611;3;08.11.2018-16:46:00;2;1;2
2611;1;04.12.2018-13:41:00;2;1;126
2611;1;04.12.2018-13:41:00;2;1;126
2611;2;05.12.2018-10:53:00;2;1;12
2611;2;06.12.2018-10:47:00;2;1;13
2611;3;07.12.2018-09:10:00;2;1;2
2611;1;17.12.2018-11:18:00;2;1;126
2611;1;17.12.2018-11:20:00;2;1;126
2611;2;18.12.2018-08:03:00;2;1;1
2611;2;19.12.2018-11:29:00;2;1;12
2611;3;03.01.2019-16:12:00;2;1;4
2611;3;03.01.2019-16:12:00;2;1;4
2611;1;08.01.2019-15:47:00;2;1;126
2611;1;08.01.2019-15:48:00;2;1;126
2611;2;10.01.2019-10:05:00;2;1;12
2611;2;11.01.2019-13:05:00;2;1;12
2612;0;03.01.2018-13:33:00;1;0;151
2612;17;04.01.2018-11:28:00;1;0;151
2612;1;16.01.2018-13:47:00;1;0;57
2612;2;10.02.2018-08:07:00;1;0;7
2612;9;14.02.2018-17:06:00;1;0;6
2612;3;09.05.2018-14:09:00;1;0;2
2613;0;03.01.2018-13:38:00;1;0;131
2613;2;05.01.2018-16:46:00;1;0;8
2613;1;05.01.2018-21:05:00;1;0;99
2613;3;25.01.2018-16:53:00;1;0;2
2614;0;03.01.2018-13:39:00;1;0;131
2614;1;10.01.2018-10:13:00;1;0;99
2614;2;10.01.2018-10:33:00;1;0;16
2614;3;01.02.2018-12:02:00;1;0;2
2615;0;03.01.2018-13:40:00;2;1;126
2615;1;12.01.2018-08:21:00;2;1;155
2615;1;29.01.2018-10:23:00;2;1;155
2615;1;29.01.2018-10:25:00;2;1;155
2615;2;31.01.2018-15:50:00;2;1;7
2615;3;01.02.2018-12:02:00;2;1;2
2615;2;01.02.2018-14:37:00;2;1;7
2615;2;07.02.2018-15:28:00;2;1;1
2615;3;08.02.2018-14:44:00;2;1;2
2615;1;09.02.2018-08:24:00;2;1;155
2615;3;15.02.2018-14:51:00;2;1;2
2615;2;15.02.2018-16:17:00;2;1;1
2615;1;16.02.2018-08:38:00;2;1;155
2615;2;22.02.2018-17:11:00;2;1;1
2615;1;26.02.2018-13:50:00;2;1;155
2615;3;01.03.2018-14:06:00;2;1;4
2615;1;06.03.2018-15:56:00;2;1;155
2615;2;07.03.2018-05:12:00;2;1;6
2615;2;07.03.2018-10:43:00;2;1;6
2615;1;13.03.2018-08:19:00;2;1;155
2615;2;13.03.2018-16:15:00;2;1;1
2615;3;15.03.2018-14:14:00;2;1;4
2615;1;19.03.2018-13:40:00;2;1;155
2615;2;19.03.2018-15:07:00;2;1;9
2615;3;22.03.2018-13:32:00;2;1;4
2615;1;23.03.2018-07:31:00;2;1;155
2615;2;24.03.2018-06:15:00;2;1;1
2615;3;05.04.2018-15:51:00;2;1;2
2615;1;06.04.2018-08:34:00;2;1;155
2615;1;06.04.2018-14:46:00;2;1;155
2615;2;09.04.2018-12:39:00;2;1;1
2615;2;12.04.2018-13:18:00;2;1;13
2615;3;12.04.2018-14:08:00;2;1;2
2615;3;19.04.2018-14:47:00;2;1;2
2615;3;26.04.2018-11:16:00;2;1;2
2615;1;30.04.2018-08:34:00;2;1;155
2615;2;01.05.2018-13:32:00;2;1;1
2615;1;04.05.2018-11:36:00;2;1;155
2615;2;08.05.2018-11:26:00;2;1;12
2615;3;17.05.2018-14:51:00;2;1;2
2615;1;28.05.2018-15:52:00;2;1;155
2615;1;28.05.2018-15:53:00;2;1;155
2615;2;29.05.2018-09:52:00;2;1;12
2615;2;29.05.2018-12:48:00;2;1;1
2615;3;31.05.2018-12:33:00;2;1;2
2615;3;07.06.2018-13:13:00;2;1;2
2615;1;08.06.2018-07:46:00;2;1;155
2615;2;11.06.2018-05:54:00;2;1;1
2615;1;21.06.2018-12:08:00;2;1;155
2615;1;22.06.2018-08:24:00;2;1;155
2615;2;22.06.2018-10:07:00;2;1;1
2615;2;25.06.2018-16:36:00;2;1;12
2615;3;28.06.2018-14:06:00;2;1;2
2615;3;28.06.2018-14:06:00;2;1;2
2615;1;02.07.2018-09:40:00;2;1;155
2615;2;03.07.2018-12:22:00;2;1;12
2615;3;05.07.2018-14:13:00;2;1;2
2615;1;10.07.2018-08:28:00;2;1;155
2615;2;10.07.2018-17:27:00;2;1;1
2615;3;12.07.2018-12:56:00;2;1;2
2615;1;13.07.2018-13:14:00;2;1;155
